country,country_code,date,value
Germany,DEU,2023,83280000
Germany,DEU,2022,83797985
Germany,DEU,2021,83196078
Germany,DEU,2020,83160871
Germany,DEU,2019,83092962
Germany,DEU,2018,82905782
Germany,DEU,2017,82657002
Germany,DEU,2016,82348669
Germany,DEU,2015,81686611
Germany,DEU,2014,80982500
Germany,DEU,2013,80645605
Germany,DEU,2012,80425823
Germany,DEU,2011,80274983
Germany,DEU,2010,81776930
Germany,DEU,2009,81902307
Germany,DEU,2008,82110097
Germany,DEU,2007,82266372
Germany,DEU,2006,82376451
Germany,DEU,2005,82469422
Germany,DEU,2004,82516260
Germany,DEU,2003,82534176
France,FRA,2023,68287487
France,FRA,2022,68065015
France,FRA,2021,67842811
France,FRA,2020,67601110
France,FRA,2019,67382061
France,FRA,2018,67158348
France,FRA,2017,66918020
France,FRA,2016,66724104
France,FRA,2015,66548272
France,FRA,2014,66312067
France,FRA,2013,65997932
France,FRA,2012,65657659
France,FRA,2011,65340830
France,FRA,2010,65026211
France,FRA,2009,64706436
France,FRA,2008,64375116
France,FRA,2007,64016890
France,FRA,2006,63622342
France,FRA,2005,63180854
France,FRA,2004,62707588
France,FRA,2003,62249855
Italy,ITA,2023,58993475
Italy,ITA,2022,59013667
Italy,ITA,2021,59133173
Italy,ITA,2020,59438851
Italy,ITA,2019,59729081
Italy,ITA,2018,60421760
Italy,ITA,2017,60536709
Italy,ITA,2016,60627498
Italy,ITA,2015,60730582
Italy,ITA,2014,60789140
Italy,ITA,2013,60233948
Italy,ITA,2012,59539717
Italy,ITA,2011,59379449
Italy,ITA,2010,59277417
Italy,ITA,2009,59095365
Italy,ITA,2008,58826731
Italy,ITA,2007,58438310
Italy,ITA,2006,58143979
Italy,ITA,2005,57969484
Italy,ITA,2004,57685327
Italy,ITA,2003,57313203
Spain,ESP,2023,48347910
Spain,ESP,2022,47759127
Spain,ESP,2021,47415794
Spain,ESP,2020,47365655
Spain,ESP,2019,47134837
Spain,ESP,2018,46797754
Spain,ESP,2017,46593236
Spain,ESP,2016,46484062
Spain,ESP,2015,46444832
Spain,ESP,2014,46480882
Spain,ESP,2013,46620045
Spain,ESP,2012,46773055
Spain,ESP,2011,46742697
Spain,ESP,2010,46576897
Spain,ESP,2009,46362946
Spain,ESP,2008,45954106
Spain,ESP,2007,45226803
Spain,ESP,2006,44397319
Spain,ESP,2005,43653155
Spain,ESP,2004,42921895
Spain,ESP,2003,42187645
Netherlands,NLD,2023,17877117
Netherlands,NLD,2022,17700982
Netherlands,NLD,2021,17533044
Netherlands,NLD,2020,17441500
Netherlands,NLD,2019,17344874
Netherlands,NLD,2018,17231624
Netherlands,NLD,2017,17131296
Netherlands,NLD,2016,17030314
Netherlands,NLD,2015,16939923
Netherlands,NLD,2014,16865008
Netherlands,NLD,2013,16804432
Netherlands,NLD,2012,16754962
Netherlands,NLD,2011,16693074
Netherlands,NLD,2010,16615394
Netherlands,NLD,2009,16530388
Netherlands,NLD,2008,16445593
Netherlands,NLD,2007,16381696
Netherlands,NLD,2006,16346101
Netherlands,NLD,2005,16319868
Netherlands,NLD,2004,16281779
Netherlands,NLD,2003,16225302
Sweden,SWE,2023,10536632
Sweden,SWE,2022,10486941
Sweden,SWE,2021,10415811
Sweden,SWE,2020,10353442
Sweden,SWE,2019,10278887
Sweden,SWE,2018,10175214
Sweden,SWE,2017,10057698
Sweden,SWE,2016,9923085
Sweden,SWE,2015,9799186
Sweden,SWE,2014,9696110
Sweden,SWE,2013,9600379
Sweden,SWE,2012,9519374
Sweden,SWE,2011,9449213
Sweden,SWE,2010,9378126
Sweden,SWE,2009,9298515
Sweden,SWE,2008,9219637
Sweden,SWE,2007,9148092
Sweden,SWE,2006,9080505
Sweden,SWE,2005,9029572
Sweden,SWE,2004,8993531
Sweden,SWE,2003,8958229
Poland,POL,2023,36687353
Poland,POL,2022,36821749
Poland,POL,2021,36981559
Poland,POL,2020,37899070
Poland,POL,2019,37965475
Poland,POL,2018,37974750
Poland,POL,2017,37974826
Poland,POL,2016,37970087
Poland,POL,2015,37986412
Poland,POL,2014,38011735
Poland,POL,2013,38040196
Poland,POL,2012,38063164
Poland,POL,2011,38063255
Poland,POL,2010,38042794
Poland,POL,2009,38151603
Poland,POL,2008,38125759
Poland,POL,2007,38120560
Poland,POL,2006,38141267
Poland,POL,2005,38165445
Poland,POL,2004,38182222
Poland,POL,2003,38204570
Greece,GRC,2023,10405588
Greece,GRC,2022,10436882
Greece,GRC,2021,10569207
Greece,GRC,2020,10698599
Greece,GRC,2019,10721582
Greece,GRC,2018,10732882
Greece,GRC,2017,10754679
Greece,GRC,2016,10775971
Greece,GRC,2015,10820883
Greece,GRC,2014,10892413
Greece,GRC,2013,10965211
Greece,GRC,2012,11045011
Greece,GRC,2011,11104899
Greece,GRC,2010,11121341
Greece,GRC,2009,11107017
Greece,GRC,2008,11077841
Greece,GRC,2007,11048473
Greece,GRC,2006,11020362
Greece,GRC,2005,10987314
Greece,GRC,2004,10955141
Greece,GRC,2003,10928070
Portugal,PRT,2023,10578174
Portugal,PRT,2022,10434332
Portugal,PRT,2021,10361831
Portugal,PRT,2020,10297081
Portugal,PRT,2019,10286263
Portugal,PRT,2018,10283822
Portugal,PRT,2017,10300300
Portugal,PRT,2016,10325452
Portugal,PRT,2015,10358076
Portugal,PRT,2014,10401062
Portugal,PRT,2013,10457295
Portugal,PRT,2012,10514844
Portugal,PRT,2011,10557560
Portugal,PRT,2010,10573100
Portugal,PRT,2009,10568247
Portugal,PRT,2008,10558177
Portugal,PRT,2007,10542964
Portugal,PRT,2006,10522288
Portugal,PRT,2005,10503330
Portugal,PRT,2004,10483861
Portugal,PRT,2003,10458821
Norway,NOR,2023,5519594
Norway,NOR,2022,5457127
Norway,NOR,2021,5408320
Norway,NOR,2020,5379475
Norway,NOR,2019,5347896
Norway,NOR,2018,5311916
Norway,NOR,2017,5276968
Norway,NOR,2016,5234519
Norway,NOR,2015,5188607
Norway,NOR,2014,5137232
Norway,NOR,2013,5079623
Norway,NOR,2012,5018573
Norway,NOR,2011,4953088
Norway,NOR,2010,4889252
Norway,NOR,2009,4828726
Norway,NOR,2008,4768212
Norway,NOR,2007,4709153
Norway,NOR,2006,4660677
Norway,NOR,2005,4623291
Norway,NOR,2004,4591910
Norway,NOR,2003,4564855
United Kingdom,GBR,2023,68350000
United Kingdom,GBR,2022,67791000
United Kingdom,GBR,2021,67026292
United Kingdom,GBR,2020,67081234
United Kingdom,GBR,2019,66836327
United Kingdom,GBR,2018,66460344
United Kingdom,GBR,2017,66058859
United Kingdom,GBR,2016,65611593
United Kingdom,GBR,2015,65116219
United Kingdom,GBR,2014,64602298
United Kingdom,GBR,2013,64128273
United Kingdom,GBR,2012,63700215
United Kingdom,GBR,2011,63258810
United Kingdom,GBR,2010,62766365
United Kingdom,GBR,2009,62276270
United Kingdom,GBR,2008,61806995
United Kingdom,GBR,2007,61322463
United Kingdom,GBR,2006,60846820
United Kingdom,GBR,2005,60401206
